"2017-12-23T15:00:00+00:00  Brighton & Hove AlbionvsWatford"
"2017-12-23T15:00:00+00:00  Manchester CityvsAFC Bournemouth"
"2017-12-23T15:00:00+00:00  Stoke CityvsWest Bromwich Albion"
"2017-12-23T15:00:00+00:00  Swansea CityvsCrystal Palace"
"2017-12-23T15:00:00+00:00  SouthamptonvsHuddersfield Town"
"2017-12-23T15:00:00+00:00  West Ham UnitedvsNewcastle United"
"2017-12-23T17:30:00+00:00  BurnleyvsTottenham Hotspur"
"2017-12-23T19:45:00+00:00  Leicester CityvsManchester United"
"2017-09-16T12:30:00+01:00  Crystal PalacevsSouthampton"
"2017-09-16T15:00:00+01:00  LiverpoolvsBurnley"
"2017-09-16T15:00:00+01:00  Newcastle UnitedvsStoke City"
"2017-09-16T15:00:00+01:00  Huddersfield TownvsLeicester City"
"2017-09-16T15:00:00+01:00  West Bromwich AlbionvsWest Ham United"
"2017-09-16T15:00:00+01:00  WatfordvsManchester City"
"2017-09-16T17:30:00+01:00  Tottenham HotspurvsSwansea City"
"2017-11-18T15:00:00+00:00  Crystal PalacevsEverton"
"2017-11-18T12:30:00+00:00  ArsenalvsTottenham Hotspur"
"2017-11-18T15:00:00+00:00  AFC BournemouthvsHuddersfield Town"
"2017-11-18T15:00:00+00:00  LiverpoolvsSouthampton"
"2017-11-18T15:00:00+00:00  Leicester CityvsManchester City"
"2017-11-18T17:30:00+00:00  Manchester UnitedvsNewcastle United"
"2017-11-18T15:00:00+00:00  BurnleyvsSwansea City"
"2017-11-18T15:00:00+00:00  West Bromwich AlbionvsChelsea"
"2017-10-21T12:30:00+01:00  ChelseavsWatford"
"2017-10-21T15:00:00+01:00  Huddersfield TownvsManchester United"
"2017-10-21T15:00:00+01:00  Manchester CityvsBurnley"
"2017-10-21T15:00:00+01:00  Newcastle UnitedvsCrystal Palace"
"2017-10-21T15:00:00+01:00  Swansea CityvsLeicester City"
"2017-10-21T15:00:00+01:00  Stoke CityvsAFC Bournemouth"
"2017-10-21T17:30:00+01:00  SouthamptonvsWest Bromwich Albion"
"2018-01-13T15:00:00+00:00  ChelseavsLeicester City"
"2018-01-13T15:00:00+00:00  Crystal PalacevsBurnley"
"2018-01-13T15:00:00+00:00  Newcastle UnitedvsSwansea City"
"2018-01-13T15:00:00+00:00  Huddersfield TownvsWest Ham United"
"2018-01-13T15:00:00+00:00  WatfordvsSouthampton"
"2018-01-13T15:00:00+00:00  West Bromwich AlbionvsBrighton & Hove Albion"
"2018-01-13T17:30:00+00:00  Tottenham HotspurvsEverton"
"2018-04-07T12:30:00+01:00  EvertonvsLiverpool"
"2018-04-07T15:00:00+01:00  Brighton & Hove AlbionvsHuddersfield Town"
"2018-04-07T15:00:00+01:00  Leicester CityvsNewcastle United"
"2018-04-07T15:00:00+01:00  AFC BournemouthvsCrystal Palace"
"2018-04-07T15:00:00+01:00  Stoke CityvsTottenham Hotspur"
"2018-04-07T15:00:00+01:00  WatfordvsBurnley"
"2018-04-07T15:00:00+01:00  West Bromwich AlbionvsSwansea City"
"2018-04-07T17:30:00+01:00  Manchester CityvsManchester United"
"2017-11-04T12:30:00+00:00  Stoke CityvsLeicester City"
"2017-11-04T15:00:00+00:00  Huddersfield TownvsWest Bromwich Albion"
"2017-11-04T15:00:00+00:00  Newcastle UnitedvsAFC Bournemouth"
"2017-11-04T15:00:00+00:00  SouthamptonvsBurnley"
"2017-11-04T15:00:00+00:00  Swansea CityvsBrighton & Hove Albion"
"2017-11-04T17:30:00+00:00  West Ham UnitedvsLiverpool"
"2018-02-03T15:00:00+00:00  AFC BournemouthvsStoke City"
"2018-02-03T15:00:00+00:00  Brighton & Hove AlbionvsWest Ham United"
"2018-02-03T15:00:00+00:00  Leicester CityvsSwansea City"
"2018-02-03T12:30:00+00:00  BurnleyvsManchester City"
"2018-02-03T15:00:00+00:00  West Bromwich AlbionvsSouthampton"
"2018-02-03T15:00:00+00:00  Manchester UnitedvsHuddersfield Town"
"2017-09-30T15:00:00+01:00  AFC BournemouthvsLeicester City"
"2018-02-03T17:30:00+00:00  ArsenalvsEverton"
"2017-09-30T12:30:00+01:00  Huddersfield TownvsTottenham Hotspur"
"2017-09-30T15:00:00+01:00  Stoke CityvsSouthampton"
"2017-09-30T15:00:00+01:00  Manchester UnitedvsCrystal Palace"
"2017-09-30T15:00:00+01:00  West Bromwich AlbionvsWatford"
"2017-09-30T17:30:00+01:00  ChelseavsManchester City"
"2017-09-30T15:00:00+01:00  West Ham UnitedvsSwansea City"
"2017-11-25T15:00:00+00:00  Crystal PalacevsStoke City"
"2017-11-25T15:00:00+00:00  Manchester UnitedvsBrighton & Hove Albion"
"2017-11-25T17:30:00+00:00  LiverpoolvsChelsea"
"2017-11-25T15:00:00+00:00  Swansea CityvsAFC Bournemouth"
"2017-11-25T15:00:00+00:00  Tottenham HotspurvsWest Bromwich Albion"
"2017-11-25T15:00:00+00:00  Newcastle UnitedvsWatford"
"2018-04-21T15:00:00+01:00  WatfordvsCrystal Palace"
"2018-04-21T12:30:00+01:00  West Bromwich AlbionvsLiverpool"
"2017-08-19T15:00:00+01:00  AFC BournemouthvsWatford"
"2017-08-19T15:00:00+01:00  Leicester CityvsBrighton & Hove Albion"
"2017-08-19T15:00:00+01:00  BurnleyvsWest Bromwich Albion"
"2017-08-19T12:30:00+01:00  Swansea CityvsManchester United"
"2017-08-19T15:00:00+01:00  LiverpoolvsCrystal Palace"
"2017-08-19T15:00:00+01:00  SouthamptonvsWest Ham United"
"2017-08-19T17:30:00+01:00  Stoke CityvsArsenal"
"2017-10-28T15:00:00+01:00  Crystal PalacevsWest Ham United"
"2017-10-28T15:00:00+01:00  ArsenalvsSwansea City"
"2017-10-28T15:00:00+01:00  LiverpoolvsHuddersfield Town"
"2017-10-28T12:30:00+01:00  Manchester UnitedvsTottenham Hotspur"
"2017-10-28T15:00:00+01:00  West Bromwich AlbionvsManchester City"
"2017-10-28T17:30:00+01:00  AFC BournemouthvsChelsea"
"2017-10-28T15:00:00+01:00  WatfordvsStoke City"
